Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,0.719578
1,CPU Time,0.546963
1,Performance-core (P-core),
2,Memory Bound,76.3
3,L1 Bound,0.0
3,L2 Bound,0.0
3,L3 Bound,2.1
3,DRAM Bound,77.7
3,Store Bound,2.1
1,Efficient-core (E-core),
2,Memory Bound,22.5
3,L1 Bound,21.1
3,L2 Bound,0.1
3,L3 Bound,0.2
3,DRAM Bound,0.2
1,Uncore,
2,DRAM Bandwidth Bound,0.0
1,Loads,95102853
1,Stores,8200246
1,LLC Miss Count,29712474
1,Total Thread Count,4
1,Paused Time,0.0
0,Bandwidth Utilization,
0,Bandwidth Domain,Platform Maximum,Observed Maximum,Average,% of Elapsed Time with High BW Utilization(%)
0,"DRAM, GB/sec",66.000000,29.400000,16.148365,0.0
0,Collection and Platform Info,
1,Application Command Line,d:\Study\26sp\parallel\hw2\bin\lab1_perf.exe "matrix" "naive" "2048" "8" 
1,Operating System,Microsoft Windows 11
1,Computer Name,LAPTOP-644S5K5I
1,Result Size,27721103
1,Collection start time,14:23:04 26/03/2026 UTC
1,Collection stop time,14:23:05 26/03/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Raptorlake-P
2,Frequency,2995201785
2,Logical CPU Count,20
2,Max DRAM Single-Package Bandwidth,66000000000.000000
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
